iter	Passed	Remaining
406	7893	69685
407	7916	69695
408	7937	69691
409	7961	69708
410	7981	69699
411	8001	69686
412	8020	69657
413	8042	69662
414	8061	69640
415	8079	69607
416	8103	69623
417	8121	69598
418	8138	69552
419	8160	69560
420	8177	69519
421	8198	69512
422	8215	69470
423	8234	69451
424	8265	69526
425	8285	69516
426	8311	69550
427	8329	69513
428	8347	69486
429	8369	69484
430	8391	69490
431	8414	69494
432	8431	69459
433	8454	69469
434	8475	69462
435	8495	69446
436	8517	69442
437	8537	69429
438	8558	69419
439	8576	69391
440	8593	69350
441	8613	69334
442	8632	69310
443	8656	69329
444	8678	69330
445	8699	69320
446	8717	69292
447	8739	69291
448	8761	69289
449	8781	69278
450	8802	69265
451	8822	69253
452	8848	69282
453	8865	69246
454	8883	69209
455	8903	69194
456	8922	69177
457	8942	69159
458	8958	69114
459	8983	69132
460	9002	69107
461	9020	69077
462	9042	69075
463	9063	69069
464	9083	69053
465	9102	69029
466	9119	68994
467	9141	68990
468	9163	68988
469	9178	68940
470	9198	68922
471	9220	68918
472	9239	68895
473	9261	68891
474	9281	68880
475	9305	68893
476	9321	68844
477	9341	68829
478	9362	68823
479	9385	68830
480	9404	68805
481	9425	68795
482	9442	68757
483	9463	68749
484	9486	68749
485	9505	68732
486	9524	68702
487	9541	68664
488	9561	68653
489	9581	68636
490	9600	68614
491	9624	68624
492	9644	68610
493	9665	68595
494	9687	68596
495	9709	68593
496	9733	68607
497	9754	68597
498	9775	68585
499	9800	68605
500	9814	68545
501	9832	68517
502	9852	68496
503	9873	68486
504	9892	68463
505	9911	68439
506	9932	68429
507	9952	68411
508	9974	68409
509	9992	68382
510	10010	68351
511	10030	68333
512	10051	68322
513	10069	68292
514	10088	68269
515	10107	68248
516	10128	68237
517	10153	68253
518	10172	68228
519	10188	68185
520	10206	68151
521	10225	68132
522	10248	68136
523	10268	68118
524	10287	68092
525	10308	68086
526	10330	68080
527	10349	68055
528	10370	68048
529	10391	68032
530	10409	68003
531	10431	67998
532	10450	67978
533	10468	67944
534	10489	67933
535	10511	67932
536	10529	67902
537	10554	67914
538	10572	67887
539	10592	67871
540	10612	67852
541	10635	67857
542	10659	67863
543	10676	67825
544	10698	67819
545	10715	67788
546	10731	67744
547	10749	67716
548	10770	67706
549	10792	67701
550	10812	67679
551	10828	67636
552	10849	67630
553	10869	67609
554	10886	67572
555	10904	67545
556	10930	67565
557	10946	67525
558	10969	67521
559	10989	67509
560	11009	67489
561	11028	67467
562	11048	67448
563	11069	67440
564	11087	67408
565	11106	67383
566	11125	67359
567	11141	67321
568	11163	67315
569	11181	67283
570	11201	67268
571	11223	67265
572	11243	67246
573	11262	67220
574	11280	67193
575	11302	67184
576	11322	67170
577	11339	67136
578	11359	67118
579	11382	67117
580	11402	67100
581	11426	67107
582	11442	67066
583	11461	67042
584	11478	67006
585	11498	66991
586	11520	66985
587	11539	66959
588	11561	66954
589	11578	66918
590	11598	66901
591	11621	66903
592	11640	66879
593	11660	66864
594	11678	66834
595	11694	66794
596	11715	66780
597	11731	66738
598	11749	66711
599	11773	66719
600	11793	66701
601	11814	66688
602	11831	66654
603	11851	66635
604	11868	66603
605	11893	66609
606	11911	66584
607	11934	66582
608	11952	66555
609	11974	66544
610	11994	66531
611	12021	66549
612	12043	66542
613	12062	66520
614	12078	66482
615	12097	66457
616	12112	66415
617	12133	66400
618	12156	66401
619	12177	66386
620	12195	66360
621	12213	66330
622	12236	66329
623	12257	66313
624	12274	66280
625	12295	66269
626	12311	66230
627	12332	66217
628	12350	66188
629	12370	66174
630	12393	66173
631	12416	66169
632	12435	66144
633	12460	66154
634	12480	66138
635	12500	66116
636	12516	66078
637	12537	66068
638	12553	66031
639	12575	66021
640	12596	66008
641	12618	66003
642	12638	65982
643	12659	65969
644	12678	65947
645	12700	65942
646	12721	65928
647	12742	65914
648	12760	65888
649	12780	65869
650	12796	65832
651	12818	65820
652	12838	65802
653	12862	65808
654	12883	65792
655	12906	65789
656	12927	65779
657	12946	65757
658	12972	65766
659	12991	65746
660	13012	65730
661	13032	65714
662	13049	65681
663	13073	65680
664	13092	65660
665	13113	65646
666	13134	65633
667	13153	65611
668	13169	65573
669	13188	65550
670	13208	65532
671	13224	65494
672	13244	65474
673	13260	65435
674	13281	65424
675	13300	65403
676	13325	65405
677	13342	65376
678	13360	65345
679	13380	65329
680	13396	65292
681	13419	65286
682	13440	65273
683	13466	65283
684	13482	65248
685	13505	65243
686	13522	65211
687	13543	65197
688	13566	65192
689	13591	65200
690	13610	65177
691	13634	65177
692	13656	65168
693	13675	65143
694	13692	65112
695	13712	65095
696	13733	65080
697	13752	65057
698	13772	65040
699	13789	65007
700	13809	64987
701	13832	64983
702	13851	64961
703	13874	64959
704	13894	64938
705	13914	64919
706	13933	64896
707	13952	64876
708	13973	64862
709	13993	64842
710	14011	64815
711	14029	64788
712	14047	64758
713	14069	64753
714	14093	64749
715	14112	64729
716	14133	64715
717	14151	64686
718	14171	64670
719	14187	64634
720	14208	64617
721	14228	64599
722	14250	64592
723	14269	64566
724	14290	64553
725	14310	64535
726	14332	64526
727	14350	64496
728	14369	64476
729	14391	64464
730	14406	64427
731	14424	64399
732	14447	64394
733	14470	64388
734	14493	64382
735	14519	64391
736	14544	64395
737	14566	64385
738	14586	64367
739	14603	64335
740	14621	64308
741	14644	64301
742	14665	64288
743	14689	64286
744	14708	64265
745	14730	64254
746	14750	64234
747	14764	64191
748	14786	64180
749	14808	64168
750	14828	64151
751	14848	64132
752	14869	64119
753	14886	64087
754	14907	64070
755	14925	64047
756	14947	64033
757	14967	64014
758	14985	63989
759	15005	63970
760	15026	63955
761	15045	63934
762	15068	63928
763	15084	63892
764	15102	63865
765	15122	63848
766	15146	63842
767	15168	63832
768	15189	63817
769	15205	63782
770	15225	63765
771	15249	63764
772	15274	63765
773	15299	63769
774	15322	63760
775	15346	63759
776	15365	63737
777	15386	63723
778	15405	63700
779	15424	63677
780	15443	63654
781	15462	63627
782	15484	63619
783	15504	63599
784	15519	63561
785	15540	63546
786	15559	63521
787	15576	63491
788	15593	63461
789	15613	63440
790	15631	63416
791	15651	63397
792	15670	63371
793	15691	63357
794	15710	63337
795	15730	63318
796	15749	63294
797	15770	63281
798	15792	63269
799	15813	63254
800	15832	63232
801	15850	63204
802	15871	63189
803	15890	63168
804	15916	63170
805	15939	63164
806	15959	63146
807	15979	63125
808	16000	63110
809	16019	63089
810	16038	63067
811	16055	63037
812	16078	63029
813	16094	62995
814	16115	62980
815	16139	62975
816	16156	62944
817	16178	62932
818	16197	62909
819	16212	62874
820	16233	62857
821	16251	62831
822	16265	62788
823	16285	62768
824	16306	62753
825	16327	62741
826	16348	62723
827	16374	62730
828	16395	62714
829	16412	62682
830	16430	62657
831	16450	62639
832	16470	62620
833	16490	62600
834	16513	62592
835	16535	62580
836	16555	62562
837	16576	62547
838	16598	62536
839	16616	62508
840	16633	62478
841	16659	62483
842	16678	62460
843	16700	62449
844	16721	62432
845	16738	62401
846	16756	62376
847	16776	62359
848	16796	62340
849	16818	62326
850	16839	62313
851	16861	62300
852	16881	62280
853	16899	62254
854	16916	62226
855	16936	62205
856	16961	62205
857	16980	62183
858	17003	62175
859	17023	62156
860	17045	62145
861	17064	62119
862	17081	62089
863	17113	62115
864	17138	62113
865	17158	62096
866	17184	62097
867	17202	62072
868	17224	62059
869	17244	62041
870	17267	62032
871	17284	62003
872	17302	61975
873	17321	61953
874	17339	61928
875	17356	61896
876	17375	61875
877	17396	61859
878	17419	61848
879	17442	61842
880	17460	61814
881	17481	61800
882	17503	61786
883	17530	61794
884	17552	61780
885	17573	61765
886	17595	61752
887	17616	61735
888	17635	61712
889	17657	61703
890	17680	61694
891	17701	61677
892	17728	61682
893	17744	61649
894	17765	61634
895	17787	61621
896	17809	61608
897	17828	61586
898	17846	61558
899	17870	61555
900	17890	61535
901	17914	61528
902	17934	61509
903	17952	61484
904	17976	61476
905	18000	61471
906	18018	61444
907	18037	61422
908	18055	61396
909	18080	61392
910	18103	61384
911	18129	61387
912	18149	61365
